policy,date,issue_hour,horizon_intervals,milp_objective_yuan,lp_lower_bound_yuan,milp_minus_lp_yuan,lp_max_primal_violation,runtime_seconds,passed
variable_w28,2025-04-01,0,144,39410.95300885623,39410.95300885623,0.0,4.547473508864641e-13,0.004956333999871276,True
variable_w28,2025-04-01,6,108,31495.178888091352,31495.178888091337,1.4551915228366852e-11,9.094947017729282e-13,0.00474075000238372,True
variable_w28,2025-04-01,12,72,26699.129044499496,26699.129044499496,0.0,4.547473508864641e-13,0.003223874999093823,True
variable_w28,2025-04-01,18,36,15730.356942341146,15730.356942341148,-1.8189894035458565e-12,4.547473508864641e-13,0.0018846250022761524,True
variable_w28,2025-06-21,0,144,18069.616829591854,18069.616829591858,-3.637978807091713e-12,9.094947017729282e-13,0.004098458004591521,True
variable_w28,2025-06-21,6,108,15086.263880002605,15086.263880002603,1.8189894035458565e-12,1.8189894035458565e-12,0.004401209000207018,True
variable_w28,2025-06-21,12,72,15437.186364513538,15437.186364513542,-3.637978807091713e-12,9.094947017729282e-13,0.0030673330038553104,True
variable_w28,2025-06-21,18,36,12943.724217345247,12943.724217345241,5.4569682106375694e-12,9.094947017729282e-13,0.0018161670013796538,True
variable_w28,2025-09-23,0,144,42464.918896441275,42464.91889644128,-7.275957614183426e-12,4.547473508864641e-13,0.013575832999777049,True
variable_w28,2025-09-23,6,108,30725.493017379475,30725.49301737947,3.637978807091713e-12,2.5263741715914674e-13,0.004649583002901636,True
variable_w28,2025-09-23,12,72,29110.21729305521,29110.217293055215,-3.637978807091713e-12,2.8421709430404007e-13,0.0032281250023515895,True
variable_w28,2025-09-23,18,36,19371.440939166387,19371.440939166383,3.637978807091713e-12,1.7053025658242404e-13,0.0018710410004132427,True
variable_w28,2025-12-21,0,144,71693.07992635138,71693.07992635132,5.820766091346741e-11,9.094947017729282e-13,0.004408374996273778,True
variable_w28,2025-12-21,6,108,55040.52478821249,55040.52478821247,2.1827872842550278e-11,9.094947017729282e-13,0.004579958003887441,True
variable_w28,2025-12-21,12,72,41154.403110797495,41154.4031107975,-7.275957614183426e-12,9.094947017729282e-13,0.0033321670052828267,True
variable_w28,2025-12-21,18,36,16061.21419706973,16061.21419706973,0.0,9.094947017729282e-13,0.001856458002293948,True
